Covidence,Study ID,Title,Reviewer Name,included,exp1_is_preregistered,exp1_has_pwr_analysis,exp1_hypothesis_quote,exp1_results_quote,exp1_support,exp1_sample_size,exp1_pwr_an_effect_type,exp1_pwr_an_effect_est_raw,exp1_pwr_an_effect_est_d,exp1_effect_justification,exp1_power_estimate,exp2_is_preregistered,exp2_has_pwr_analysis,exp2_hypothesis_quote,exp2_results_quote,exp2_support,exp2_sample_size,exp2_pwr_an_effect_type,exp2_pwr_an_effect_est_raw,exp2_pwr_an_effect_est_d,exp2_effect_justification,exp2_pwr_estimate,exp3_is_preregistered,exp3_has_pwr_analysis,exp3_hypothesis_quote,exp3_results_quote,exp3_support,exp3_sample_size,exp3_pwr_an_effect_type,exp3_pwr_an_effect_est_raw,exp3_pwr_an_effect_est_d,exp3_effect_justification,exp3_pwr_estimate,exp4_is_preregistered,exp4_has_pwr_analysis,exp4_hypothesis_quote,exp4_results_quote,exp4_support,exp4_sample_size,exp4_pwr_an_effect_type,exp4_pwr_an_effect_est_raw,exp4_pwr_an_effect_est_d,exp4_effect_justification,exp4_pwr_estimate
2186,Legg 2021,Does functional performance and upper body strength predict upper extremity reaction and movement time in older women?,Aaron Schwarz,Yes,No,No,The aim was to investigate the relationship of physical function and upper body strength to upper limb reaction and movement time in older female participants. ,"A relationship between arm strength measures and faster upper body reaction and movement time was shown, with 10–20% higher strength associated with a 5% faster response time. ",Yes,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2186,Legg 2021,Does functional performance and upper body strength predict upper extremity reaction and movement time in older women?,Julie Hubley,Yes,No,No,"The purpose of this study is to investigate the relationship of physical function, upper and lower body strength and RT and MT in female participants over the age of 60 during a task simulating rapid hand and arm repositioning seen during protective arm responses in forward fall impact preparation.","Significant regression equations for RT (r2 = 0.08, P = 0.013) found a relationship between stronger handgrip (Beta = − 0.002) and faster reaction time, accounting for 8% variance. For movement time (r2 = 0.06, P = 0.036) greater shoulder flexion strength (Beta = − 0.04) was related to faster movement time, explaining 6% variance. Stronger SF strength was related to a decrease in MT by 4%",Yes,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2186,Legg 2021,Does functional performance and upper body strength predict upper extremity reaction and movement time in older women?,Consensus,Yes,No,No,The aim was to investigate the relationship of physical function and upper body strength to upper limb reaction and movement time in older female participants. ,"A relationship between arm strength measures and faster upper body reaction and movement time was shown, with 10–20% higher strength associated with a 5% faster response time. ",Yes,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2184,Wang 2021,Effect of movement speed on lower and upper body biomechanics during sit-to-stand-to-sit transfers: Self-selected speed vs. fast imposed speed,Abigail Morgan,Yes,No,No,"We hypothesized that joint loading mechanisms in knees, hips, and lower back can be manipulated by the preferred speed vs. fast speed STS techniques. ",Our results indicate that the fast speed STS could be more challenging for participants compared to the preferred speed STS evidenced by greater knee and lower back joint movements. ,Yes,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2184,Wang 2021,Effect of movement speed on lower and upper body biomechanics during sit-to-stand-to-sit transfers: Self-selected speed vs. fast imposed speed,Abbey Corson,Yes,No,No,"We hypothesized that joint loading mechanisms in knees, hips, and lower back can be manipulated by the preferred speed vs. fast speed STS techniques. ","During sit-to-stand transfer, peak knee extension ve-locity and knee extension moment were significantly increased for the fast speed STS as compared to the preferred speed STS. During stand-to-sit transfer, peak knee extension moment and lower back moment were significantly increased while STS time was decreased for the fast speed STS as compared to the preferred speed STS",Yes,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2184,Wang 2021,Effect of movement speed on lower and upper body biomechanics during sit-to-stand-to-sit transfers: Self-selected speed vs. fast imposed speed,Consensus,Yes,No,No,"We hypothesized that joint loading mechanisms in knees, hips, and lower back can be manipulated by the preferred speed vs. fast speed STS techniques. ","During sit-to-stand transfer, peak knee extension ve-locity and knee extension moment were significantly increased for the fast speed STS as compared to the preferred speed STS. During stand-to-sit transfer, peak knee extension moment and lower back moment were significantly increased while STS time was decreased for the fast speed STS as compared to the preferred speed STS",Yes,19, ,,, ,, , ,,, ,, ,,, ,, , ,,, ,, ,,, ,, , ,,, ,, ,,, ,
2183,Lima 2021,Grip and load force control and coordination in individuals with diabetes in different manipulation tasks,Aaron Schwarz,Yes,No,Yes,"We hypothesized that individuals with diabetes 
without and with DNP would exert lower GF (i.e., set a lower SM) than controls during the simple holding task, but individuals with diabetes without and with DPN would not be different from each other. ",The first hypothesis was confirmed since we found that individuals with T2DM with and with no diagnosis of DPN exerted lower GF and set lower SM than individuals from the control group during the static holding task. ,Yes,12,,,,no_explanation,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2183,Lima 2021,Grip and load force control and coordination in individuals with diabetes in different manipulation tasks,Hugh Brooks,Yes,No,Yes,"We hypothesized that individuals with diabetes without and with DNP would exert lower GF (i.e., set a lower SM) than controls during the simple holding task, but individuals with diabetes without and with DPN would not be different from each other.", Individuals with diabetes from the nDPN and wDPN groups set lower relative safety margin than controls only in the static holding task.,Yes,12,Not stated,,,previous_study,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2183,Lima 2021,Grip and load force control and coordination in individuals with diabetes in different manipulation tasks,Consensus,Yes,No,Yes,"We hypothesized that individuals with diabetes without and with DNP would exert lower GF (i.e., set a lower SM) than controls during the simple holding task, but individuals with diabetes without and with DPN would not be different from each other.", Individuals with diabetes from the nDPN and wDPN groups set lower relative safety margin than controls only in the static holding task.,Yes,12, ,,,previous_study,80, , ,,, ,, ,,, ,, , ,,, ,, ,,, ,, , ,,, ,, ,,, ,
2182,Kimura 2021,Identifying coordination between joint movements during a throwing task with multiple degrees of freedom,Hugh Brooks,Yes,No,No,"Therefore, this study examined which joint movements coordinate to reduce the hand velocity variability, especially in the vertical direction.","The findings suggest that not all correlations between joint movements are beneficial for successful throwing. Moreover, the findings indicated that this study enables us to identify which joint movements are coordinated in multiple degrees of freedom.",Yes,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2182,Kimura 2021,Identifying coordination between joint movements during a throwing task with multiple degrees of freedom,Gianna Jeyarajan,Yes,No,No,"Subsequently, we examined which joint movements were coordinated using accurate overhead throwing, which required reduction in vertical hand velocity variability.",Our results showed that the shoulder internal/external rotation angle (θ1-IE) and the other joint movements or the shoulder horizontal flexion/extension angular velocity (ω1-FE) and the other joint movements were coordinated. ,Yes,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2182,Kimura 2021,Identifying coordination between joint movements during a throwing task with multiple degrees of freedom,Consensus,Yes,No,No,"Therefore, this study examined which joint movements coordinate to reduce the hand velocity variability, especially in the vertical direction.","The findings suggest that not all correlations between joint movements are beneficial for successful throwing. Moreover, the findings indicated that this study enables us to identify which joint movements are coordinated in multiple degrees of freedom.",Yes,14, ,,, ,, , ,,, ,, ,,, ,, , ,,, ,, ,,, ,, , ,,, ,, ,,, ,
2181,Thomas 2021,"Influence of step-surface visual properties on confidence, anxiety, dynamic stability, and gaze behaviour in young and older adults",Aaron Schwarz,Yes,No,Yes,"We hypothesised that: 1) patterned surfaces would be detrimental to descent safety – characterised by reduced confidence and increased anxiety, slower and more cautious gait, and reduced foot clearances; 2) patterned surfaces would cause participants to look less steps ahead, and at the steps for longer; 3) step- edge highlighters would lead to increased foot clearances; 4) older adults would be more ‘at risk’, with more adaptations than young necessary to negotiate patterned steps and steps with no edge-highlighters (e.g. slower descent), in addition to riskier stepping patterns (e.g. smaller foot clearances). ","Patterned step surfaces can lead to more cautious and demanding stair negotiation from the perspective of visually extracting spatial information about the steps. In contrast, plain d ́ecor with step edge highlighters improves safety.",Yes,20.5,d,1.29,1.29,previous_study,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2181,Thomas 2021,"Influence of step-surface visual properties on confidence, anxiety, dynamic stability, and gaze behaviour in young and older adults",Hugh Brooks,Yes,No,Yes,"We hypothesised that: 1) patterned surfaces would be detrimental to descent safety – characterised by reduced confidence and increased anxiety, slower and more cautious gait, and reduced foot clearances","Patterned step surfaces can lead to more cautious and demanding stair negotiation from the perspective of visually extracting spatial information about the steps. In contrast, plain d ́ecor with step edge highlighters improves safety.",Yes,13.7,d,1.29,1.29,previous_study,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2181,Thomas 2021,"Influence of step-surface visual properties on confidence, anxiety, dynamic stability, and gaze behaviour in young and older adults",Consensus,Yes,No,Yes,"We hypothesised that: 1) patterned surfaces would be detrimental to descent safety – characterised by reduced confidence and increased anxiety, slower and more cautious gait, and reduced foot clearances","Patterned step surfaces can lead to more cautious and demanding stair negotiation from the perspective of visually extracting spatial information about the steps. In contrast, plain d ́ecor with step edge highlighters improves safety.",Yes,13.7,d,1.29,1.29,previous_study,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2180,Bagesteiro 2021,Interlimb differences in visuomotor and dynamic adaptation during targeted reaching in children,Abbey Corson,Yes,No,Yes,"In the current study, we investigated the pattern of motor adaptation in children aged 9–11 years old to determine their interlimb (a)symmetries during targeted reaching movements, which has received less attention in previous studies","During dynamic adaptation, however, a significant difference between the arms was observed at the first cycle during dynamic adaptation. ",Yes,13, missing,1.77,,previous_study,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2180,Bagesteiro 2021,Interlimb differences in visuomotor and dynamic adaptation during targeted reaching in children,Abigail Morgan,Yes,No,Yes,to examine interlimb differences in children when adapting to novel visuomotor and dynamic conditions while performing a center-out reaching task.,"Results showed that during visuomotor adaptation, no interlimb differences were observed for any of the three measures. During dynamic adaptation, however, a significant difference between the arms was observed at the first cycle during dynamic adaptation.",Yes,6.5,,1.77,,previous_study,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
